Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
24.7000     -13491.6269  -13492.3320       0.7051   248.0
24.7500     -13491.5083  -13492.4697       0.9615   338.1
24.8000     -13491.4623  -13492.4082       0.9459   332.6
24.8500     -13491.2185  -13492.0527       0.8342   293.4
24.9000     -13491.1982  -13492.2988       1.1006   387.0
24.9500     -13491.3264  -13492.1680       0.8416   295.9
25.0000     -13491.3991  -13492.3018       0.9027   317.4
25.0500     -13491.3058  -13492.3545       1.0487   368.8
25.1000     -13491.3652  -13492.3184       0.9532   335.2
25.1500     -13491.4244  -13492.3633       0.9389   330.1
25.2000     -13491.3334  -13492.1484       0.8151   286.6
25.2500     -13491.5109  -13492.5820       1.0711   376.7
25.3000     -13491.3381  -13492.0889       0.7507   264.0
25.3500     -13491.5111  -13492.3418       0.8307   292.1
25.4000     -13491.4487  -13492.3496       0.9010   316.8
25.4500     -13491.6115  -13492.3105       0.6990   245.8
25.5000     -13491.9197  -13492.5713       0.6516   229.1
25.5500     -13491.8769  -13492.5732       0.6963   244.9
25.6000     -13491.7264  -13492.4238       0.6975   245.3
25.6500     -13491.6264  -13492.3525       0.7262   255.4
25.7000     -13491.4484  -13492.2998       0.8514   299.4
25.7500     -13491.2377  -13492.2109       0.9733   342.3
25.8000     -13491.6326  -13492.2344       0.6017   211.6
25.8500     -13491.3803  -13492.1855       0.8052   283.2
25.9000     -13491.3815  -13492.2178       0.8362   294.1
25.9500     -13491.6251  -13492.3916       0.7665   269.6
26.0000     -13491.4846  -13492.2471       0.7625   268.1
26.0500     -13491.4143  -13492.2354       0.8210   288.7
26.1000     -13491.2852  -13492.0625       0.7773   273.4
26.1500     -13491.2156  -13492.2715       1.0559   371.3
26.2000     -13491.1601  -13492.2500       1.0899   383.3
26.2500     -13491.4187  -13492.1016       0.6829   240.1
26.3000     -13491.2471  -13492.3018       1.0546   370.9
26.3500     -13491.1809  -13492.0117       0.8308   292.1
26.4000     -13491.0559  -13492.1963       1.1404   401.0
26.4500     -13491.1135  -13492.0625       0.9490   333.7
26.5000     -13491.1228  -13492.0420       0.9192   323.3
26.5500     -13491.1841  -13492.2842       1.1001   386.8
26.6000     -13491.2784  -13492.2373       0.9589   337.2
26.6500     -13491.3635  -13492.2803       0.9167   322.4
26.7000     -13491.5524  -13492.4131       0.8607   302.7
26.7500     -13491.2871  -13492.2578       0.9707   341.4
26.8000     -13491.2480  -13492.3291       1.0811   380.2
26.8500     -13491.2798  -13492.2891       1.0093   354.9
26.9000     -13491.4281  -13492.1875       0.7594   267.0
26.9500     -13491.4659  -13492.2490       0.7831   275.4
27.0000     -13491.0080  -13492.1836       1.1756   413.4
27.0500     -13491.3451  -13492.2744       0.9293   326.8
27.1000     -13491.4182  -13492.3604       0.9421   331.3
27.1500     -13491.5161  -13492.1416       0.6255   220.0
27.2000     -13491.6997  -13492.3760       0.6763   237.8
27.2500     -13491.6232  -13492.2900       0.6668   234.5
27.3000     -13491.5034  -13492.3848       0.8813   309.9
27.3500     -13491.3674  -13492.1699       0.8025   282.2
27.4000     -13491.5058  -13492.3574       0.8516   299.5
27.4500     -13491.5173  -13492.4512       0.9338   328.4
27.5000     -13491.4074  -13492.2393       0.8318   292.5
27.5500     -13491.7070  -13492.5801       0.8731   307.0
27.6000     -13491.8085  -13492.3936       0.5850   205.7
27.6500     -13491.5530  -13492.4189       0.8660   304.5
27.7000     -13491.2978  -13492.0664       0.7686   270.3
27.7500     -13491.3022  -13492.1514       0.8492   298.6
27.8000     -13491.2511  -13492.2822       1.0311   362.6
27.8500     -13491.3023  -13491.9170       0.6147   216.2
27.9000     -13491.5179  -13492.2451       0.7272   255.7
27.9500     -13491.3460  -13492.0156       0.6696   235.5
28.0000     -13491.2445  -13491.9766       0.7321   257.4
28.0500     -13491.2064  -13492.2109       1.0046   353.3
28.1000     -13491.4938  -13492.1719       0.6781   238.4
28.1500     -13491.3738  -13492.1592       0.7853   276.2
28.2000     -13491.0419  -13492.0205       0.9786   344.1
28.2500     -13490.7743  -13491.8760       1.1017   387.4
28.3000     -13490.8567  -13492.0859       1.2292   432.3
28.3500     -13491.1915  -13492.2617       1.0702   376.4
28.4000     -13491.2573  -13492.1963       0.9390   330.2
28.4500     -13491.2677  -13491.9863       0.7186   252.7
28.5000     -13491.3061  -13492.2100       0.9039   317.8
28.5500     -13491.5649  -13492.5615       0.9966   350.5
28.6000     -13491.5259  -13492.5000       0.9741   342.5
28.6500     -13491.5682  -13492.3096       0.7414   260.7
28.7000     -13491.4824  -13492.2930       0.8106   285.1
28.7500     -13491.3192  -13492.1504       0.8312   292.3
28.8000     -13491.2575  -13491.9062       0.6488   228.1
28.8500     -13491.4738  -13492.2705       0.7967   280.1
28.9000     -13491.6560  -13492.2354       0.5794   203.7
28.9500     -13491.6503  -13492.5049       0.8545   300.5
29.0000     -13491.5453  -13492.2627       0.7174   252.3
29.0500     -13491.4884  -13492.3994       0.9110   320.3
29.1000     -13491.5050  -13492.4004       0.8954   314.9
29.1500     -13491.1958  -13492.3047       1.1089   390.0
29.2000     -13491.5399  -13492.3623       0.8224   289.2
29.2500     -13491.7016  -13492.2432       0.5416   190.5
29.3000     -13491.5102  -13492.5195       1.0093   354.9
29.3500     -13491.4436  -13492.2432       0.7996   281.2
29.4000     -13491.5961  -13492.3174       0.7213   253.6
29.4500     -13491.4305  -13492.3623       0.9318   327.7
29.5000     -13491.2899  -13492.1826       0.8927   313.9
29.5500     -13491.1455  -13492.2441       1.0987   386.4
29.6000     -13491.1787  -13492.2305       1.0518   369.9
29.6500     -13491.1376  -13492.0889       0.9512   334.5
29.7000     -13491.0564  -13492.1123       1.0559   371.3
29.7500     -13491.3231  -13492.0693       0.7462   262.4
29.8000     -13491.5463  -13492.3604       0.8140   286.3
29.8500     -13491.4646  -13492.2871       0.8225   289.2
29.9000     -13491.2402  -13492.3779       1.1377   400.1
29.9500     -13491.5615  -13492.1973       0.6358   223.6
30.0000     -13491.3872  -13492.0918       0.7046   247.8
30.0500     -13491.3423  -13492.2080       0.8657   304.4
30.1000     -13491.2524  -13492.3184       1.0660   374.9
30.1500     -13491.1477  -13492.0430       0.8953   314.8
30.2000     -13490.9619  -13492.1396       1.1778   414.2
30.2500     -13491.2422  -13492.4570       1.2148   427.2
30.3000     -13491.0183  -13491.9756       0.9573   336.6
30.3500     -13491.5886  -13492.5400       0.9514   334.6
30.4000     -13491.3719  -13492.2051       0.8331   293.0
30.4500     -13491.4886  -13492.2705       0.7819   275.0
30.5000     -13491.3878  -13492.4102       1.0223   359.5
30.5500     -13491.3744  -13492.3330       0.9587   337.1
30.6000     -13491.4183  -13492.2363       0.8181   287.7
30.6500     -13491.3927  -13492.0078       0.6151   216.3
30.7000     -13491.5157  -13492.3506       0.8348   293.6
30.7500     -13491.3481  -13492.3672       1.0191   358.4
30.8000     -13491.4070  -13492.3867       0.9797   344.5
30.8500     -13491.1099  -13492.1592       1.0493   369.0
30.9000     -13491.0600  -13492.3701       1.3101   460.7
30.9500     -13491.4484  -13492.2725       0.8240   289.8
31.0000     -13491.3962  -13492.1084       0.7122   250.4
31.0500     -13491.3609  -13492.1514       0.7905   278.0
31.1000     -13491.2872  -13492.3379       1.0507   369.5
31.1500     -13491.3779  -13492.2939       0.9161   322.1
31.2000     -13491.3344  -13492.3525       1.0181   358.0
31.2500     -13491.0960  -13491.9658       0.8698   305.9
31.3000     -13491.2009  -13492.4463       1.2454   437.9
31.3500     -13491.1787  -13492.4844       1.3057   459.1
31.4000     -13491.4965  -13492.1582       0.6617   232.7
31.4500     -13491.5647  -13492.3936       0.8289   291.5
31.5000     -13491.5127  -13492.3867       0.8740   307.3
31.5500     -13491.4262  -13492.2129       0.7867   276.6
31.6000     -13491.3316  -13492.1582       0.8266   290.7
31.6500     -13491.3289  -13492.0059       0.6769   238.1
31.7000     -13491.3932  -13492.1680       0.7748   272.5
31.7500     -13490.8609  -13491.9043       1.0434   366.9
31.8000     -13490.8651  -13492.1055       1.2403   436.2
31.8500     -13491.4364  -13492.2812       0.8448   297.1
31.9000     -13491.3410  -13491.9951       0.6541   230.0
31.9500     -13491.1430  -13492.1924       1.0494   369.0
32.0000     -13491.3197  -13491.9434       0.6237   219.3
32.0500     -13491.4498  -13492.3975       0.9477   333.3
32.1000     -13491.5942  -13492.2949       0.7007   246.4
32.1500     -13491.4532  -13492.3721       0.9188   323.1
32.2000     -13491.5956  -13492.4756       0.8800   309.4
32.2500     -13491.5371  -13492.2881       0.7510   264.1
32.3000     -13491.7770  -13492.4443       0.6674   234.7
32.3500     -13491.7142  -13492.3145       0.6003   211.1
32.4000     -13491.7562  -13492.4561       0.6998   246.1
32.4500     -13491.6501  -13492.3838       0.7337   258.0
32.5000     -13491.5012  -13492.3477       0.8464   297.7
32.5500     -13491.4187  -13492.0684       0.6497   228.5
32.6000     -13491.3521  -13492.0371       0.6850   240.9
32.6500     -13491.3623  -13492.3193       0.9570   336.5
32.7000     -13491.2575  -13492.2861       1.0286   361.7
32.7500     -13491.5817  -13492.3516       0.7698   270.7
32.8000     -13491.7999  -13492.4775       0.6776   238.3
32.8500     -13491.4897  -13492.2344       0.7447   261.9
32.9000     -13491.5654  -13492.3555       0.7901   277.8
32.9500     -13491.5619  -13492.2197       0.6578   231.3
33.0000     -13491.5061  -13492.3086       0.8025   282.2
33.0500     -13491.4243  -13492.2168       0.7925   278.7
33.1000     -13491.3917  -13492.2920       0.9003   316.6
33.1500     -13491.3218  -13492.2090       0.8872   312.0
33.2000     -13491.7115  -13492.5283       0.8168   287.2
33.2500     -13491.8464  -13492.4707       0.6243   219.6
33.3000     -13491.8494  -13492.5205       0.6711   236.0
33.3500     -13491.5584  -13492.3066       0.7483   263.1
33.4000     -13491.3913  -13492.1709       0.7796   274.1
33.4500     -13491.6003  -13492.4326       0.8324   292.7
33.5000     -13491.5098  -13492.4102       0.9004   316.6
33.5500     -13491.2040  -13492.2939       1.0899   383.3
33.6000     -13491.3454  -13492.2666       0.9212   323.9
33.6500     -13491.4052  -13492.6045       1.1993   421.7
33.7000     -13491.6195  -13492.3906       0.7711   271.2
33.7500     -13491.5687  -13492.4766       0.9079   319.3
33.8000     -13491.5595  -13492.1475       0.5880   206.8
33.8500     -13491.6369  -13492.4492       0.8123   285.7
33.9000     -13491.5622  -13492.2451       0.6829   240.1
33.9500     -13491.4180  -13492.4062       0.9883   347.5
34.0000     -13491.3294  -13492.2393       0.9099   320.0
34.0500     -13491.4520  -13492.2705       0.8185   287.8
34.1000     -13491.3222  -13492.4268       1.1045   388.4
34.1500     -13491.2273  -13492.2598       1.0325   363.1
34.2000     -13491.3598  -13492.2168       0.8570   301.4
34.2500     -13491.2072  -13492.3828       1.1757   413.4
34.3000     -13491.1230  -13492.1221       0.9991   351.3
34.3500     -13491.4078  -13492.3604       0.9526   335.0
34.4000     -13491.3144  -13492.2227       0.9082   319.4
34.4500     -13491.4580  -13492.2266       0.7686   270.3
34.5000     -13491.6590  -13492.5244       0.8655   304.3
34.5500     -13491.6539  -13492.3633       0.7094   249.5
34.6000     -13491.5957  -13492.3896       0.7939   279.2
34.6500     -13491.4861  -13492.1543       0.6682   235.0
34.7000     -13491.4673  -13492.1973       0.7299   256.7
34.7500     -13491.5369  -13492.3564       0.8195   288.2
34.8000     -13491.4792  -13492.1826       0.7035   247.4
34.8500     -13491.6625  -13492.2725       0.6099   214.5
34.9000     -13491.4962  -13492.2236       0.7275   255.8
34.9500     -13491.3265  -13492.1260       0.7995   281.2
35.0000     -13491.4446  -13492.3496       0.9050   318.3
35.0500     -13491.6928  -13492.3848       0.6920   243.3
35.1000     -13491.6875  -13492.4854       0.7978   280.6
35.1500     -13491.4556  -13492.3320       0.8764   308.2
35.2000     -13491.3958  -13492.1436       0.7478   263.0
35.2500     -13491.1242  -13492.3193       1.1951   420.3
35.3000     -13491.3661  -13492.3301       0.9639   339.0
35.3500     -13491.1041  -13491.9932       0.8891   312.6
35.4000     -13490.9517  -13492.2383       1.2865   452.4
35.4500     -13491.0351  -13492.0117       0.9766   343.4
35.5000     -13491.0632  -13492.1406       1.0774   378.9
35.5500     -13490.9834  -13492.1777       1.1943   420.0
35.6000     -13491.2861  -13492.1807       0.8945   314.6
35.6500     -13491.4885  -13492.3184       0.8299   291.8
35.7000     -13491.6093  -13492.4287       0.8194   288.2
35.7500     -13491.4455  -13492.5205       1.0750   378.0
35.8000     -13491.5840  -13492.3516       0.7676   269.9
35.8500     -13491.5168  -13492.4102       0.8934   314.2
35.9000     -13491.2893  -13492.1650       0.8758   308.0
35.9500     -13491.4366  -13492.3428       0.9062   318.7
36.0000     -13491.6039  -13492.5996       0.9957   350.1
36.0500     -13491.6495  -13492.3721       0.7226   254.1
36.1000     -13491.5927  -13492.3740       0.7813   274.8
36.1500     -13491.3183  -13492.1221       0.8038   282.7
36.2000     -13491.4242  -13492.3545       0.9303   327.1
36.2500     -13491.8808  -13492.4756       0.5948   209.2
36.3000     -13491.4881  -13492.2197       0.7316   257.3
36.3500     -13491.5073  -13492.3682       0.8608   302.7
36.4000     -13491.5693  -13492.3291       0.7598   267.2
36.4500     -13491.6934  -13492.4648       0.7714   271.3
36.5000     -13491.7384  -13492.4395       0.7011   246.5
36.5500     -13491.4716  -13492.4619       0.9903   348.3
36.6000     -13491.6352  -13492.4922       0.8570   301.4
36.6500     -13491.7934  -13492.4902       0.6968   245.0
36.7000     -13491.6166  -13492.2510       0.6344   223.1
36.7500     -13491.4344  -13492.0557       0.6213   218.5
36.8000     -13491.3201  -13492.2002       0.8801   309.5
36.8500     -13491.7135  -13492.3906       0.6771   238.1
36.9000     -13491.4005  -13492.2920       0.8915   313.5
36.9500     -13491.5207  -13492.3604       0.8396   295.2
37.0000     -13491.2782  -13492.1582       0.8800   309.4
37.0500     -13491.4736  -13492.1631       0.6895   242.4
37.1000     -13491.6028  -13492.2803       0.6774   238.2
37.1500     -13491.4500  -13492.2236       0.7736   272.1
37.2000     -13491.4680  -13492.3203       0.8523   299.7
37.2500     -13491.3063  -13492.2275       0.9212   324.0
37.3000     -13491.3703  -13492.2207       0.8504   299.1
37.3500     -13491.5405  -13492.5449       1.0044   353.2
37.4000     -13491.3650  -13492.2324       0.8674   305.0
37.4500     -13491.3886  -13492.2139       0.8253   290.2
37.5000     -13491.5409  -13492.3174       0.7765   273.0
37.5500     -13491.3875  -13492.2334       0.8459   297.5
37.6000     -13491.3062  -13492.3574       1.0512   369.7
37.6500     -13491.1531  -13492.0967       0.9435   331.8
37.7000     -13491.3808  -13492.0137       0.6329   222.6
37.7500     -13491.3107  -13492.1406       0.8299   291.8
37.8000     -13491.3115  -13492.0947       0.7832   275.4
37.8500     -13491.2373  -13491.9551       0.7177   252.4
37.9000     -13491.3863  -13492.2686       0.8823   310.3
37.9500     -13491.2561  -13492.1699       0.9139   321.4
38.0000     -13491.3500  -13492.2197       0.8697   305.8
38.0500     -13491.4833  -13492.3125       0.8292   291.6
38.1000     -13491.3130  -13491.9971       0.6841   240.6
38.1500     -13491.3025  -13492.3691       1.0666   375.1
38.2000     -13491.3903  -13492.4248       1.0345   363.8
38.2500     -13491.5276  -13492.4502       0.9226   324.5
38.3000     -13491.6833  -13492.5625       0.8792   309.2
38.3500     -13491.8680  -13492.4023       0.5343   187.9
38.4000     -13491.8346  -13492.4062       0.5717   201.0
38.4500     -13491.8835  -13492.3965       0.5130   180.4
38.5000     -13491.5567  -13492.2617       0.7050   247.9
38.5500     -13491.4106  -13492.2402       0.8296   291.7
38.6000     -13491.3944  -13492.3711       0.9767   343.5
38.6500     -13491.4854  -13492.2412       0.7558   265.8
38.7000     -13491.2655  -13492.1221       0.8566   301.2
38.7500     -13491.2347  -13491.9287       0.6940   244.1
38.8000     -13491.1197  -13492.0947       0.9750   342.9
38.8500     -13491.2452  -13492.2656       1.0204   358.8
38.9000     -13491.5924  -13492.4141       0.8216   288.9
38.9500     -13491.3440  -13492.3076       0.9637   338.9
39.0000     -13491.2362  -13492.1221       0.8858   311.5
39.0500     -13491.2886  -13492.2998       1.0112   355.6
39.1000     -13490.9987  -13492.0498       1.0511   369.6
39.1500     -13491.0698  -13492.0654       0.9957   350.1
39.2000     -13491.3339  -13492.1357       0.8018   282.0
39.2500     -13491.2078  -13492.2539       1.0461   367.9
39.3000     -13491.0264  -13491.8701       0.8437   296.7
39.3500     -13491.2025  -13492.2988       1.0964   385.5
39.4000     -13491.6371  -13492.5059       0.8688   305.5
39.4500     -13491.4263  -13492.1748       0.7485   263.2
39.5000     -13491.3389  -13492.1348       0.7959   279.9
39.5500     -13491.2199  -13492.0703       0.8504   299.1
39.6000     -13491.2818  -13492.0713       0.7895   277.6
39.6500     -13491.4212  -13492.3350       0.9138   321.3
39.7000     -13491.2277  -13492.1953       0.9677   340.3
39.7500     -13491.2102  -13492.4336       1.2234   430.2
39.8000     -13491.6115  -13492.4590       0.8475   298.0
39.8500     -13491.8500  -13492.3975       0.5475   192.5
39.9000     -13491.8355  -13492.4326       0.5971   210.0
39.9500     -13491.5808  -13492.2422       0.6614   232.6
40.0000     -13491.7197  -13492.4883       0.7686   270.3
40.0500     -13491.5537  -13492.3506       0.7969   280.2
40.1000     -13491.4012  -13492.4004       0.9992   351.4
40.1500     -13491.1819  -13492.1084       0.9265   325.8
40.2000     -13491.2274  -13492.0615       0.8341   293.3
40.2500     -13491.3421  -13492.4287       1.0866   382.1
40.3000     -13491.4289  -13492.3438       0.9149   321.7
40.3500     -13491.4756  -13492.3184       0.8428   296.4
40.4000     -13491.6079  -13492.3154       0.7075   248.8
40.4500     -13491.5085  -13492.3916       0.8831   310.6
40.5000     -13491.4336  -13492.1230       0.6894   242.4
40.5500     -13491.0051  -13492.0557       1.0506   369.4
40.6000     -13491.2873  -13492.1211       0.8338   293.2
40.6500     -13491.5990  -13492.3945       0.7955   279.7
40.7000     -13491.7733  -13492.3428       0.5694   200.2
40.7500     -13491.5833  -13492.3984       0.8151   286.6
40.8000     -13491.5774  -13492.3594       0.7820   275.0
40.8500     -13491.6785  -13492.2168       0.5383   189.3
40.9000     -13491.3081  -13491.9521       0.6440   226.5
40.9500     -13491.4612  -13492.2988       0.8376   294.5
41.0000     -13491.5757  -13492.3535       0.7778   273.5
41.0500     -13491.3352  -13492.1855       0.8503   299.0
41.1000     -13491.2674  -13492.1494       0.8820   310.2
41.1500     -13491.1498  -13492.1299       0.9801   344.7
41.2000     -13491.4576  -13492.1260       0.6683   235.0
41.2500     -13491.2033  -13492.1943       0.9911   348.5
41.3000     -13491.3597  -13492.2139       0.8541   300.4
41.3500     -13491.4563  -13492.2373       0.7810   274.7
41.4000     -13491.2872  -13492.3555       1.0683   375.7
41.4500     -13491.6726  -13492.3252       0.6526   229.5
41.5000     -13491.8911  -13492.3564       0.4654   163.7
41.5500     -13491.5529  -13492.1416       0.5887   207.0
41.6000     -13491.2623  -13492.1982       0.9359   329.1
41.6500     -13491.4737  -13492.2910       0.8173   287.4
41.7000     -13491.3957  -13492.3467       0.9510   334.4
41.7500     -13491.0545  -13492.1064       1.0520   369.9
41.8000     -13491.1580  -13491.8711       0.7131   250.7
41.8500     -13491.4057  -13492.1943       0.7886   277.3
41.9000     -13491.4569  -13492.1992       0.7423   261.0
41.9500     -13491.3731  -13492.6084       1.2353   434.4
42.0000     -13491.4758  -13492.1885       0.7127   250.6
42.0500     -13491.6182  -13492.4062       0.7880   277.1
42.1000     -13491.4403  -13492.1572       0.7169   252.1
42.1500     -13491.3689  -13492.2666       0.8977   315.7
42.2000     -13491.0130  -13492.1543       1.1413   401.4
42.2500     -13491.0673  -13492.1611       1.0938   384.6
42.3000     -13491.0429  -13492.0508       1.0079   354.4
42.3500     -13490.9935  -13491.9189       0.9255   325.4
42.4000     -13491.0438  -13492.2725       1.2287   432.1
42.4500     -13491.1274  -13492.2188       1.0913   383.8
42.5000     -13491.0891  -13491.9863       0.8972   315.5
42.5500     -13491.2907  -13492.4229       1.1321   398.1
42.6000     -13491.3827  -13492.1943       0.8116   285.4
42.6500     -13491.2607  -13492.2803       1.0196   358.5
42.7000     -13491.4681  -13492.2988       0.8307   292.1
42.7500     -13491.6643  -13492.3516       0.6872   241.7
42.8000     -13491.4253  -13492.3525       0.9272   326.1
42.8500     -13491.6274  -13492.2881       0.6607   232.3
42.9000     -13491.4915  -13492.5996       1.1081   389.7
42.9500     -13491.5793  -13492.3213       0.7420   260.9
43.0000     -13491.3727  -13492.2959       0.9232   324.6
43.0500     -13491.2668  -13492.2861       1.0194   358.5
43.1000     -13491.6756  -13492.3242       0.6486   228.1
43.1500     -13491.6545  -13492.3848       0.7303   256.8
43.2000     -13491.5182  -13492.4580       0.9398   330.5
43.2500     -13491.5891  -13492.2627       0.6736   236.9
43.3000     -13491.3379  -13492.0664       0.7285   256.2
43.3500     -13491.4975  -13492.2578       0.7604   267.4
43.4000     -13491.2286  -13492.2119       0.9833   345.8
43.4500     -13491.1565  -13492.2432       1.0866   382.1
43.5000     -13491.1000  -13492.0137       0.9137   321.3
43.5500     -13490.9999  -13492.4297       1.4297   502.8
43.6000     -13491.0772  -13492.2188       1.1415   401.4
43.6500     -13491.0148  -13492.0625       1.0477   368.4
43.7000     -13491.2853  -13492.1807       0.8954   314.9
43.7500     -13491.3726  -13492.4102       1.0375   364.8
43.8000     -13491.2341  -13492.3936       1.1595   407.7
43.8500     -13491.2921  -13492.2207       0.9286   326.6
43.9000     -13491.5079  -13492.2900       0.7821   275.0
43.9500     -13491.6128  -13492.2598       0.6470   227.5
44.0000     -13491.4228  -13492.2881       0.8652   304.3
44.0500     -13491.4236  -13492.3408       0.9172   322.5
44.1000     -13491.5417  -13492.3438       0.8020   282.0
44.1500     -13491.6431  -13492.2930       0.6499   228.5
44.2000     -13491.7534  -13492.3994       0.6460   227.2
44.2500     -13491.5667  -13492.2510       0.6843   240.6
44.3000     -13491.4082  -13492.4268       1.0186   358.2
44.3500     -13491.3349  -13492.1689       0.8341   293.3
44.4000     -13491.3162  -13492.4307       1.1145   391.9
44.4500     -13491.6349  -13492.2998       0.6649   233.8
44.5000     -13491.4817  -13492.5215       1.0398   365.7
44.5500     -13491.5368  -13492.3789       0.8421   296.1
44.6000     -13490.9421  -13491.9336       0.9915   348.7
44.6500     -13491.2383  -13492.2773       1.0390   365.4
44.7000     -13491.0407  -13492.0117       0.9710   341.5
44.7500     -13491.5751  -13492.3496       0.7745   272.4
44.8000     -13491.6474  -13492.5234       0.8760   308.1
44.8500     -13491.6112  -13492.1973       0.5860   206.1
44.9000     -13491.7054  -13492.4902       0.7849   276.0
44.9500     -13491.6154  -13492.3604       0.7450   262.0
45.0000     -13491.6307  -13492.3135       0.6828   240.1
45.0500     -13491.1269  -13492.0029       0.8760   308.1
45.1000     -13491.6875  -13492.4561       0.7686   270.3
45.1500     -13491.5842  -13492.4395       0.8552   300.7
45.2000     -13491.2861  -13492.2178       0.9317   327.6
45.2500     -13491.3358  -13491.9199       0.5841   205.4
45.3000     -13491.1758  -13492.1709       0.9951   349.9
45.3500     -13491.1581  -13492.3037       1.1456   402.8
45.4000     -13491.4172  -13492.0596       0.6423   225.9
45.4500     -13491.2763  -13492.0332       0.7569   266.2
45.5000     -13491.5017  -13492.4707       0.9690   340.8
45.5500     -13491.8062  -13492.4893       0.6831   240.2
45.6000     -13491.6041  -13492.4053       0.8012   281.7
45.6500     -13491.4961  -13492.3896       0.8935   314.2
45.7000     -13491.1621  -13492.2949       1.1328   398.4
45.7500     -13491.3973  -13491.9824       0.5852   205.8
45.8000     -13491.0478  -13492.1006       1.0528   370.2
45.8500     -13491.2580  -13492.2705       1.0125   356.0
45.9000     -13491.2928  -13492.2002       0.9074   319.1
45.9500     -13491.4448  -13492.1611       0.7164   251.9
46.0000     -13491.5601  -13492.3555       0.7954   279.7
46.0500     -13491.6265  -13492.3506       0.7241   254.6
46.1000     -13491.8312  -13492.5264       0.6952   244.5
46.1500     -13491.7340  -13492.3555       0.6215   218.5
46.2000     -13491.6862  -13492.4600       0.7738   272.1
46.2500     -13491.7483  -13492.4229       0.6746   237.2
46.3000     -13491.6098  -13492.3242       0.7144   251.2
46.3500     -13491.1600  -13492.2178       1.0577   372.0
46.4000     -13491.0729  -13492.1436       1.0707   376.5
46.4500     -13490.8302  -13491.8809       1.0506   369.5
46.5000     -13491.4967  -13492.3545       0.8578   301.6
46.5500     -13491.3544  -13492.3164       0.9620   338.3
46.6000     -13491.4363  -13492.3232       0.8870   311.9
46.6500     -13491.4874  -13492.3086       0.8212   288.8
46.7000     -13491.4017  -13491.9619       0.5603   197.0
46.7500     -13491.1022  -13492.2363       1.1341   398.8
46.8000     -13491.2892  -13492.0117       0.7225   254.1
46.8500     -13491.5395  -13492.2812       0.7418   260.8
46.9000     -13491.4768  -13492.1611       0.6844   240.7
46.9500     -13491.2523  -13492.3252       1.0729   377.3
47.0000     -13491.2292  -13492.1328       0.9036   317.8
47.0500     -13490.9878  -13492.0098       1.0220   359.4
47.1000     -13491.3067  -13492.1045       0.7978   280.6
47.1500     -13491.2289  -13492.2979       1.0689   375.9
47.2000     -13491.3240  -13492.2832       0.9592   337.3
47.2500     -13491.5144  -13492.3027       0.7883   277.2
47.3000     -13491.8124  -13492.4199       0.6075   213.6
47.3500     -13491.8030  -13492.3730       0.5701   200.5
47.4000     -13491.4079  -13492.1182       0.7102   249.8
47.4500     -13491.4109  -13492.5557       1.1447   402.6
47.5000     -13491.1117  -13492.0439       0.9323   327.8
47.5500     -13491.1570  -13491.9355       0.7785   273.8
47.6000     -13491.4290  -13492.3018       0.8728   306.9
47.6500     -13491.2304  -13491.9814       0.7511   264.1
47.7000     -13491.5252  -13492.4248       0.8996   316.4
47.7500     -13491.1398  -13492.0049       0.8651   304.2
47.8000     -13491.0861  -13492.1309       1.0448   367.4
47.8500     -13491.0928  -13491.8799       0.7871   276.8
47.9000     -13491.3980  -13492.2764       0.8784   308.9
47.9500     -13490.8804  -13492.0605       1.1802   415.0
48.0000     -13491.2392  -13492.4053       1.1661   410.0
48.0500     -13491.5464  -13492.3965       0.8501   298.9
48.1000     -13491.3326  -13492.2402       0.9076   319.2
48.1500     -13491.3166  -13492.1787       0.8622   303.2
48.2000     -13491.1488  -13492.1035       0.9547   335.7
48.2500     -13491.5252  -13492.4385       0.9132   321.1
48.3000     -13491.4796  -13492.2061       0.7265   255.5
48.3500     -13491.2714  -13492.3301       1.0587   372.3
48.4000     -13491.3138  -13492.4102       1.0964   385.5
48.4500     -13491.0018  -13492.1240       1.1222   394.6
48.5000     -13491.2403  -13492.2832       1.0429   366.7
48.5500     -13491.0108  -13491.8291       0.8183   287.7
48.6000     -13491.2855  -13492.0664       0.7809   274.6
48.6500     -13491.3756  -13492.2490       0.8734   307.1
48.7000     -13491.1014  -13491.9434       0.8420   296.1
48.7500     -13490.9664  -13492.1465       1.1800   415.0
48.8000     -13491.1661  -13492.2529       1.0869   382.2
48.8500     -13490.9513  -13491.8877       0.9364   329.3
48.9000     -13491.1835  -13491.9883       0.8047   283.0
48.9500     -13491.2125  -13492.1279       0.9154   321.9
49.0000     -13491.4752  -13492.2695       0.7943   279.3
49.0500     -13491.0498  -13492.1436       1.0937   384.6
49.1000     -13491.1670  -13492.1660       0.9990   351.3
49.1500     -13491.4230  -13492.2383       0.8153   286.7
49.2000     -13491.3135  -13492.1641       0.8505   299.1
49.2500     -13491.5221  -13492.4072       0.8852   311.3
49.3000     -13491.3950  -13492.4893       1.0943   384.8
49.3500     -13491.5344  -13492.0908       0.5565   195.7
49.4000     -13491.7877  -13492.5420       0.7543   265.3
49.4500     -13491.7195  -13492.3037       0.5842   205.4
49.5000     -13491.8175  -13492.4814       0.6639   233.5
49.5500     -13491.6285  -13492.5693       0.9409   330.9
